#Name	Period	WCET	BCET	Jitter	Processor	
ISR_9	6000	260	124	0	Proc1	
ISR_8	1700	213	91	0	Proc1	
ISR_7	5007	228	121	0	Proc1	
ISR_6	1100	22	10	0	Proc1	
ISR_5	900	181	90	0	Proc1	
ISR_4	1504	257	116	0	Proc1	
ISR_10	700	22	11	0	Proc1	
ISR_11	5011	215	96	0	Proc1	
angle	6660	2664	913	0	Proc2	
task1	1000	536	175	20	Proc2	
task200	200000	97	49	20	Proc3	
task20	20000	7328	2523	20	Proc3
task50	50000	2160	919	20	Proc3	
task5	5000	653	255	20	Proc3	
task2	2000	283	97	20	Proc3
task100	100000	6593	2188	20	Proc3	
task1k	1000000	96	47	20	Proc3	
task10	10000	8199	2792	20	Proc4	
ISR_2	9502	13	7	0	Proc4	
ISR_1	9501	25	10	0	Proc4	
ISR_3	9503	17	8	0	Proc4	
